DATE,MinTemp,MaxTemp,AvgTemp,AvgWindSpeed,Sunrise,Sunset
12/1/2014,3,36,20,65.1,700,1608
12/2/2014,1,22,12,34.7,702,1607
12/3/2014,8,32,20,53,703,1607
12/4/2014,-5,9,2,60.2,704,1607
12/5/2014,6,17,12,30.5,705,1607
12/6/2014,11,29,20,31.5,706,1606
12/7/2014,-2,13,6,62.3,707,1606
12/8/2014,12,22,17,20.6,708,1606
12/9/2014,17,25,21,46.9,709,1606
12/10/2014,21,32,27,34.4,710,1606
12/11/2014,16,26,21,21.6,711,1606
12/12/2014,8,18,13,22.4,711,1606
12/13/2014,11,23,17,42.9,712,1606
12/14/2014,18,29,24,32.5,713,1607
12/15/2014,24,41,33,15.8,714,1607
12/16/2014,23,35,29,27.8,714,1607
12/17/2014,16,31,24,24.9,715,1607
12/18/2014,6,16,11,57.5,716,1608
12/19/2014,6,23,15,27,716,1608
12/20/2014,16,25,21,16.4,717,1608
12/21/2014,9,21,15,18.3,718,1609
12/22/2014,9,23,16,20.7,718,1609
12/23/2014,17,35,26,19.3,719,1610
12/24/2014,33,44,39,40.3,719,1611
12/25/2014,13,44,29,71.4,719,1611
12/26/2014,13,19,16,69.1,720,1612
12/27/2014,15,30,23,50.5,720,1613
12/28/2014,4,30,17,59.8,720,1613
12/29/2014,-10,7,-2,60.5,721,1614
12/30/2014,-14,-6,-10,51.4,721,1615
12/31/2014,-13,-8,-11,50.8,721,1616
1/1/2015,-8,3,-3,50.8,721,1617
1/2/2015,-13,4,-5,61.7,721,1618
1/3/2015,-13,12,-1,46.4,721,1619
1/4/2015,11,39,25,58,721,1620
1/5/2015,-24,19,-3,86.5,721,1621
1/6/2015,-24,-11,-18,51.3,721,1622
1/7/2015,-34,-6,-20,39.3,721,1623
1/8/2015,-33,-4,-19,60,720,1624
1/9/2015,-9,0,-5,61.9,720,1625
1/10/2015,-13,-7,-10,52.3,720,1626
1/11/2015,-12,7,-3,55.8,720,1627
1/12/2015,-4,14,5,59.3,719,1628
1/13/2015,-10,12,1,31.5,719,1630
1/14/2015,10,17,14,15.3,718,1631
1/15/2015,6,19,13,22.4,718,1632
1/16/2015,-25,12,-7,69.3,717,1633
1/17/2015,-25,17,-4,55.4,717,1635
1/18/2015,12,28,20,53.9,716,1636
1/19/2015,2,27,15,53.2,715,1637
1/20/2015,-8,5,-2,72.4,715,1638
1/21/2015,1,14,8,27.9,714,1640
1/22/2015,-6,16,5,23.2,713,1641
1/23/2015,-5,12,4,50.6,712,1642
1/24/2015,5,22,14,36,712,1644
1/25/2015,-17,9,-4,71.5,711,1645
1/26/2015,-11,13,1,23.8,710,1646
1/27/2015,-9,6,-2,65.1,709,1648
1/28/2015,-6,15,5,44.2,708,1649
1/29/2015,8,20,14,28.7,707,1651
1/30/2015,-8,14,3,28.5,706,1652
1/31/2015,-13,0,-7,65.6,705,1653
2/1/2015,-14,2,-6,67,704,1655
2/2/2015,-9,8,-1,26.3,703,1656
2/3/2015,-19,-7,-13,61.3,701,1658
2/4/2015,-8,14,3,45.3,700,1659
2/5/2015,-24,10,-7,51.8,659,1700
2/6/2015,-22,-4,-13,49.2,658,1702
2/7/2015,-11,1,-5,57.6,656,1703
2/8/2015,0,8,4,25.5,655,1704
2/9/2015,0,16,8,17.9,654,1706
2/10/2015,8,19,14,29.8,652,1707
2/11/2015,13,30,22,12.8,651,1709
2/12/2015,-16,14,-1,32.2,650,1710
2/13/2015,-25,-10,-18,55.9,648,1711
2/14/2015,-15,-1,-8,31.6,647,1713
2/15/2015,-35,0,-18,55.9,645,1714
2/16/2015,-35,-4,-20,91.2,644,1716
2/17/2015,-6,2,-2,16,642,1717
2/18/2015,-7,4,-2,22.7,641,1718
2/19/2015,-23,3,-10,28.2,639,1720
2/20/2015,-26,-15,-21,63,638,1721
2/21/2015,-17,8,-5,43.9,636,1722
2/22/2015,4,16,10,41,634,1724
2/23/2015,-35,4,-16,71.3,633,1725
2/24/2015,-32,1,-16,46.6,631,1726
2/25/2015,-14,-1,-8,45.4,630,1728
2/26/2015,-15,5,-5,34.4,628,1729
2/27/2015,-13,-5,-9,33.9,626,1730
2/28/2015,-11,4,-4,30.8,625,1732
3/1/2015,0,11,6,34.4,623,1733
3/2/2015,-12,5,-4,66.3,621,1734
3/3/2015,-13,19,3,52.8,619,1736
3/4/2015,3,16,10,65.5,618,1737
3/5/2015,-17,4,-7,51.8,616,1738
3/6/2015,-17,-1,-9,35.1,614,1740
3/7/2015,-9,5,-2,39.2,612,1741
3/8/2015,0,7,4,35,611,1742
3/9/2015,2,12,7,59,609,1743
3/10/2015,11,28,20,43.6,607,1745
3/11/2015,12,28,20,66.3,605,1746
3/12/2015,-9,13,2,66.1,604,1747
3/13/2015,-9,16,4,49.8,602,1749
3/14/2015,14,27,21,32.6,600,1750
3/15/2015,-2,24,11,38.5,558,1751
3/16/2015,3,23,13,37.6,556,1752
3/17/2015,-10,24,7,53.8,554,1754
3/18/2015,-17,-9,-13,84.7,553,1755
3/19/2015,-17,5,-6,66.5,551,1756
3/20/2015,2,20,11,21.5,549,1757
3/21/2015,-2,21,10,32.3,547,1759
3/22/2015,-18,-1,-10,81.5,545,1800
3/23/2015,-23,10,-7,58.6,543,1801
3/24/2015,7,15,11,17.3,542,1802
3/25/2015,9,26,18,31.2,540,1804
3/26/2015,17,29,23,46,538,1805
3/27/2015,11,22,17,23,536,1806
3/28/2015,-5,14,5,15.6,534,1807
3/29/2015,-4,18,7,23.2,532,1808
3/30/2015,11,16,14,52.7,531,1810
3/31/2015,4,12,8,46.8,529,1811
4/1/2015,-3,7,2,49.8,527,1812
4/2/2015,5,34,20,52.1,525,1813
4/3/2015,25,35,30,42.9,523,1815
4/4/2015,1,31,16,53.1,521,1816
4/5/2015,0,9,5,42.9,520,1817
4/6/2015,5,24,15,41,518,1818
4/7/2015,13,23,18,33,516,1819
4/8/2015,13,30,22,13.5,514,1821
4/9/2015,14,30,22,18,513,1822
4/10/2015,22,44,33,58.7,511,1823
4/11/2015,14,23,19,77.4,509,1824
4/12/2015,16,31,24,49,507,1826
4/13/2015,29,41,35,28.8,506,1827
4/14/2015,21,40,31,55.7,504,1828
4/15/2015,19,25,22,45.3,502,1829
4/16/2015,19,40,30,35.5,500,1830
4/17/2015,28,35,32,51,459,1832
4/18/2015,19,33,26,39.1,457,1833
4/19/2015,17,30,24,24,455,1834
4/20/2015,16,30,23,52.8,454,1835
4/21/2015,21,38,30,38,452,1837
4/22/2015,20,30,25,31.5,450,1838
4/23/2015,11,21,16,39.7,449,1839
4/24/2015,8,14,11,51.8,447,1840
4/25/2015,8,20,14,44,446,1841
4/26/2015,19,27,23,32.3,444,1843
4/27/2015,20,27,24,40,443,1844
4/28/2015,18,29,24,45.6,441,1845
4/29/2015,23,30,27,27,440,1846
4/30/2015,24,33,29,14.5,438,1848
5/1/2015,27,33,30,17.8,437,1849
5/2/2015,29,41,35,16.8,435,1850
5/3/2015,34,44,39,18.4,434,1851
5/4/2015,38,50,44,31.9,432,1852
5/5/2015,28,41,35,47.9,431,1854
5/6/2015,29,45,37,39.7,430,1855
5/7/2015,36,51,44,38.8,428,1856
5/8/2015,45,55,50,15.9,427,1857
5/9/2015,46,57,52,26.2,426,1858
5/10/2015,47,52,50,33.1,424,1859
5/11/2015,45,51,48,35.3,423,1901
5/12/2015,30,50,40,53.3,422,1902
5/13/2015,22,31,27,51.7,421,1903
5/14/2015,20,37,29,26.8,420,1904
5/15/2015,29,45,37,9,419,1905
5/16/2015,38,48,43,21.4,417,1906
5/17/2015,42,51,47,21.4,416,1907
5/18/2015,43,53,48,24,415,1908
5/19/2015,34,52,43,35.6,414,1909
5/20/2015,21,35,28,61,413,1910
5/21/2015,21,38,30,24.6,413,1912
5/22/2015,11,34,23,37,412,1913
5/23/2015,11,29,20,56.7,411,1914
5/24/2015,29,47,38,54.2,410,1915
5/25/2015,42,51,47,40,409,1916
5/26/2015,48,57,53,46.9,408,1917
5/27/2015,49,61,55,36.8,408,1917
5/28/2015,43,54,49,37.8,407,1918
5/29/2015,42,59,51,13.8,406,1919
5/30/2015,45,59,52,42.1,406,1920
5/31/2015,35,52,44,20.3,405,1921
6/1/2015,29,39,34,18,404,1922
6/2/2015,29,42,36,21.8,404,1923
6/3/2015,26,45,36,23.6,404,1923
6/4/2015,36,52,44,14.8,403,1924
6/5/2015,41,52,47,24,403,1925
6/6/2015,30,43,37,28.4,402,1926
6/7/2015,36,49,43,12.7,402,1926
6/8/2015,39,51,45,46.1,402,1927
6/9/2015,43,51,47,32.4,401,1928
6/10/2015,39,51,45,42.7,401,1928
6/11/2015,43,51,47,53,401,1929
6/12/2015,42,54,48,29.5,401,1929
6/13/2015,40,50,45,40.7,401,1930
6/14/2015,40,56,48,18.7,401,1930
6/15/2015,41,50,46,25.7,401,1931
6/16/2015,39,54,47,27.6,401,1931
6/17/2015,31,51,41,19.2,401,1931
6/18/2015,41,56,49,20.7,401,1932
6/19/2015,35,49,42,33,401,1932
6/20/2015,37,51,44,20.7,401,1932
6/21/2015,48,55,52,30.1,401,1933
6/22/2015,44,51,48,29.1,401,1933
6/23/2015,43,56,50,44.3,402,1933
6/24/2015,36,48,42,49.6,402,1933
6/25/2015,37,47,42,36.9,402,1933
6/26/2015,38,49,44,10.6,403,1933
6/27/2015,35,50,43,17,403,1933
6/28/2015,33,44,39,38.8,404,1933
6/29/2015,37,45,41,29.5,404,1933
6/30/2015,39,55,47,15.8,404,1933
7/1/2015,41,48,45,39.9,405,1933
7/2/2015,36,42,39,45.7,406,1933
7/3/2015,35,48,42,29.5,406,1932
7/4/2015,40,50,45,11.3,407,1932
7/5/2015,43,49,46,33.5,407,1932
7/6/2015,44,59,52,16,408,1931
7/7/2015,49,58,54,28.3,409,1931
7/8/2015,44,56,50,32.4,409,1931
7/9/2015,46,58,52,11,410,1930
7/10/2015,42,53,48,29.2,411,1930
7/11/2015,45,57,51,32,412,1929
7/12/2015,49,57,53,37.3,413,1929
7/13/2015,50,65,58,15.5,413,1928
7/14/2015,48,54,51,27.1,414,1927
7/15/2015,37,54,46,24.3,415,1927
7/16/2015,40,50,45,16.3,416,1926
7/17/2015,41,59,50,13.2,417,1925
7/18/2015,43,57,50,30.6,418,1924
7/19/2015,48,59,54,29.4,419,1924
7/20/2015,49,56,53,34.3,420,1923
7/21/2015,45,59,52,21.8,421,1922
7/22/2015,39,47,43,47.1,422,1921
7/23/2015,40,44,42,38.1,423,1920
7/24/2015,39,45,42,27.8,424,1919
7/25/2015,41,52,47,12,425,1918
7/26/2015,47,53,50,25.6,426,1917
7/27/2015,49,64,57,14,427,1916
7/28/2015,47,61,54,24,428,1915
7/29/2015,52,60,56,24.7,429,1914
7/30/2015,50,64,57,29.3,430,1913
7/31/2015,45,50,48,45,431,1911
8/1/2015,42,51,47,35.9,432,1910
8/2/2015,41,55,48,27.6,433,1909
8/3/2015,46,61,54,32.1,435,1908
8/4/2015,42,59,51,28.4,436,1906
8/5/2015,40,47,44,36.6,437,1905
8/6/2015,39,43,41,46.5,438,1904
8/7/2015,37,48,43,15.3,439,1902
8/8/2015,38,52,45,10.8,440,1901
8/9/2015,43,53,48,10.9,441,1859
8/10/2015,46,55,51,17.8,442,1858
8/11/2015,44,53,49,33.1,444,1857
8/12/2015,43,53,48,22.8,445,1855
8/13/2015,41,47,44,19.8,446,1854
8/14/2015,41,56,49,23.3,447,1852
8/15/2015,51,59,55,12.2,448,1850
8/16/2015,51,63,57,9.3,449,1849
8/17/2015,51,64,58,16.4,450,1847
8/18/2015,53,65,59,10.5,452,1846
8/19/2015,53,64,59,14.4,453,1844
8/20/2015,49,55,52,34.2,454,1843
8/21/2015,49,56,53,25.9,455,1841
8/22/2015,46,56,51,5.8,456,1839
8/23/2015,45,55,50,10.3,457,1838
8/24/2015,51,57,54,12.1,459,1836
8/25/2015,50,54,52,23.8,500,1834
8/26/2015,42,53,48,14.8,501,1832
8/27/2015,41,45,43,27,502,1831
8/28/2015,39,51,45,13.9,503,1829
8/29/2015,44,57,51,19.7,504,1827
8/30/2015,45,54,50,24.8,505,1825
8/31/2015,46,53,50,54.9,507,1824
9/1/2015,44,65,55,21.1,508,1822
9/2/2015,53,65,59,23.3,509,1820
9/3/2015,49,60,55,20,510,1818
9/4/2015,47,56,52,11.9,511,1816
9/5/2015,47,62,55,8.8,512,1815
9/6/2015,49,63,56,13.3,514,1813
9/7/2015,52,58,55,49,515,1811
9/8/2015,53,62,58,30.9,516,1809
9/9/2015,46,62,54,36.1,517,1807
9/10/2015,42,56,49,16.4,518,1806
9/11/2015,42,51,47,15.8,519,1804
9/12/2015,40,52,46,12.4,520,1802
9/13/2015,38,48,43,27,522,1800
9/14/2015,36,45,41,42.9,523,1758
9/15/2015,41,58,50,52.2,524,1756
9/16/2015,51,64,58,19.9,525,1754
9/17/2015,49,63,56,19,526,1752
9/18/2015,47,60,54,13.6,527,1751
9/19/2015,47,56,52,26.3,528,1749
9/20/2015,34,51,43,39.4,530,1747
9/21/2015,41,49,45,9.4,531,1745
9/22/2015,41,49,45,9.8,532,1743
9/23/2015,41,53,47,9.7,533,1741
9/24/2015,39,48,44,12.9,534,1739
9/25/2015,33,44,39,23.2,536,1738
9/26/2015,35,44,40,15.4,537,1736
9/27/2015,36,53,45,19.9,538,1734
9/28/2015,42,55,49,31.9,539,1732
9/29/2015,47,53,50,35,540,1730
9/30/2015,36,53,45,37,541,1728
10/1/2015,30,39,35,21.1,543,1726
10/2/2015,21,38,30,17,544,1725
10/3/2015,20,28,24,28.3,545,1723
10/4/2015,19,38,29,31.8,546,1721
10/5/2015,37,46,42,11.3,547,1719
10/6/2015,38,49,44,25.3,549,1717
10/7/2015,27,41,34,46.6,550,1716
10/8/2015,21,36,29,30.5,551,1714
10/9/2015,23,43,33,44.5,552,1712
10/10/2015,15,28,22,50.3,554,1710
10/11/2015,26,39,33,47.1,555,1708
10/12/2015,38,54,46,29.3,556,1707
10/13/2015,34,47,41,40.7,557,1705
10/14/2015,18,35,27,49.8,558,1703
10/15/2015,17,30,24,34.9,600,1702
10/16/2015,21,29,25,43,601,1700
10/17/2015,7,24,16,42.1,602,1658
10/18/2015,4,9,7,41,604,1657
10/19/2015,4,26,15,40.9,605,1655
10/20/2015,24,35,30,63.3,606,1653
10/21/2015,30,39,35,34.1,607,1652
10/22/2015,24,42,33,53.3,609,1650
10/23/2015,14,35,25,44.4,610,1648
10/24/2015,33,41,37,16.5,611,1647
10/25/2015,18,40,29,53.2,613,1645
10/26/2015,14,23,19,34.6,614,1644
10/27/2015,18,26,22,16.2,615,1642
10/28/2015,20,43,32,44.7,617,1641
10/29/2015,20,48,34,52.4,618,1639
10/30/2015,13,25,19,69.6,619,1638
10/31/2015,21,37,29,27.5,621,1637
11/1/2015,24,34,29,48.5,622,1635
11/2/2015,26,32,29,50.8,623,1634
11/3/2015,27,35,31,46.8,625,1632
11/4/2015,28,41,35,42.4,626,1631
11/5/2015,38,47,43,37.2,627,1630
11/6/2015,34,48,41,51,629,1629
11/7/2015,18,35,27,53.7,630,1627
11/8/2015,12,19,16,60.4,631,1626
11/9/2015,18,37,28,37.8,633,1625
11/10/2015,32,49,41,21.1,634,1624
11/11/2015,31,39,35,16.9,635,1623
11/12/2015,26,36,31,32.5,637,1622
11/13/2015,19,29,24,64.5,638,1621
11/14/2015,7,19,13,69.7,639,1619
11/15/2015,8,23,16,69,641,1619
11/16/2015,8,20,14,53.6,642,1618
11/17/2015,11,34,23,18.8,643,1617
11/18/2015,27,37,32,20.3,644,1616
11/19/2015,32,37,35,47.2,646,1615
11/20/2015,12,36,24,26.8,647,1614
11/21/2015,12,33,23,27.6,648,1613
11/22/2015,11,28,20,33.5,650,1613
11/23/2015,-3,11,4,41.3,651,1612
11/24/2015,-2,9,4,51.8,652,1611
11/25/2015,6,24,15,30.8,653,1611
11/26/2015,21,33,27,45.8,655,1610
11/27/2015,32,39,36,58.2,656,1609
11/28/2015,15,34,25,32.4,657,1609
11/29/2015,1,20,11,39.5,658,1608
11/30/2015,9,19,14,31.5,659,1608
12/1/2015,18,36,27,32.3,700,1608
12/2/2015,33,41,37,37.2,702,1607
12/3/2015,13,34,24,43.5,703,1607
12/4/2015,13,22,18,52.1,704,1607
12/5/2015,17,37,27,35.9,705,1607
12/6/2015,28,38,33,34.1,706,1606
12/7/2015,22,33,28,33.8,707,1606
12/8/2015,20,32,26,17.1,708,1606
12/9/2015,20,31,26,29,709,1606
12/10/2015,24,33,29,31.9,710,1606
12/11/2015,26,33,30,42.2,711,1606
12/12/2015,23,28,26,55.9,711,1606
12/13/2015,21,37,29,37.3,712,1606
12/14/2015,32,41,37,37.3,713,1607
12/15/2015,21,43,32,58.6,714,1607
12/16/2015,18,31,25,25.5,714,1607
12/17/2015,20,37,29,35.1,715,1607
12/18/2015,8,35,22,31.5,716,1608
12/19/2015,1,9,5,65.3,716,1608
12/20/2015,-4,22,9,63.8,717,1608
12/21/2015,19,31,25,58,718,1609
12/22/2015,26,34,30,42,718,1609
12/23/2015,30,38,34,34.8,719,1610
12/24/2015,29,46,38,58.3,719,1611
12/25/2015,17,31,24,53.2,719,1611
12/26/2015,13,26,20,36.2,720,1612
12/27/2015,5,32,19,43.4,720,1613
12/28/2015,-11,15,2,42.1,720,1613
12/29/2015,1,22,12,30.8,721,1614
12/30/2015,17,29,23,41,721,1615
12/31/2015,9,25,17,55.1,721,1616
1/1/2016,3,10,7,58.1,721,1617
1/2/2016,3,8,6,58.9,721,1618
1/3/2016,3,13,8,42.6,721,1619
1/4/2016,-9,5,-2,24.3,721,1620
1/5/2016,-7,9,1,40.3,721,1621
1/6/2016,6,15,11,56.8,721,1622
1/7/2016,14,26,20,33.4,721,1623
1/8/2016,21,30,26,14.3,720,1624
1/9/2016,20,28,24,28,720,1625
1/10/2016,22,35,29,47.1,720,1626
1/11/2016,-9,23,7,61.5,720,1627
1/12/2016,-9,9,0,32.3,719,1628
1/13/2016,-15,5,-5,63.1,719,1630
1/14/2016,-15,-2,-9,52.8,718,1631
1/15/2016,-4,25,11,45.8,718,1632
1/16/2016,12,25,19,29.8,717,1633
1/17/2016,1,13,7,27.8,717,1635
1/18/2016,-17,9,-4,44.7,716,1636
1/19/2016,-22,-9,-16,86.3,715,1637
1/20/2016,-10,0,-5,73.7,715,1638
1/21/2016,-11,-4,-8,69.6,714,1640
1/22/2016,-11,12,1,43.6,713,1641
1/23/2016,5,13,9,25.5,712,1642
1/24/2016,3,17,10,29.7,712,1644
1/25/2016,3,20,12,22.3,711,1645
1/26/2016,15,28,22,64.2,710,1646
1/27/2016,0,16,8,53.3,709,1648
1/28/2016,3,16,10,31.1,708,1649
1/29/2016,8,17,13,24.4,707,1651
1/30/2016,5,20,13,44.9,706,1652
1/31/2016,17,34,26,49.2,705,1653
2/1/2016,10,34,22,72.2,704,1655
2/2/2016,8,17,13,41.3,703,1656
2/3/2016,13,37,25,53.6,701,1658
2/4/2016,15,36,26,47.3,700,1659
2/5/2016,-3,20,9,35.3,659,1700
2/6/2016,-3,10,4,53.2,658,1702
2/7/2016,8,20,14,39.1,656,1703
2/8/2016,-1,21,10,29.5,655,1704
2/9/2016,4,15,10,15.9,654,1706
2/10/2016,-1,12,6,32.8,652,1707
2/11/2016,-28,0,-14,35.2,651,1709
2/12/2016,-28,-8,-18,45.6,650,1710
2/13/2016,-40,-7,-24,30.3,648,1711
2/14/2016,-32,-8,-20,47.7,647,1713
2/15/2016,-9,15,3,38.3,645,1714
2/16/2016,15,33,24,59.1,644,1716
2/17/2016,5,16,11,40.3,642,1717
2/18/2016,-7,9,1,30.6,641,1718
2/19/2016,8,18,13,26.5,639,1720
2/20/2016,8,24,16,59.1,638,1721
2/21/2016,2,23,13,59.4,636,1722
2/22/2016,-2,6,2,34.6,634,1724
2/23/2016,2,19,11,25.8,633,1725
2/24/2016,17,42,30,49,631,1726
2/25/2016,8,42,25,47.3,630,1728
2/26/2016,-13,9,-2,61.9,628,1729
2/27/2016,-7,12,3,46.9,626,1730
2/28/2016,11,30,21,60.8,625,1732
2/29/2016,11,30,21,61.4,623,1733
3/1/2016,-12,21,5,58.4,621,1734
3/2/2016,-16,28,6,63.8,619,1736
3/3/2016,-20,-7,-14,58.8,618,1737
3/4/2016,-7,7,0,21.5,616,1738
3/5/2016,-4,4,0,20.3,614,1740
3/6/2016,-1,10,5,19.8,612,1741
3/7/2016,8,22,15,53.5,611,1742
3/8/2016,20,33,27,41.8,609,1743
3/9/2016,32,41,37,63.2,607,1745
3/10/2016,31,39,35,44.9,605,1746
3/11/2016,11,32,22,47.5,604,1747
3/12/2016,16,32,24,56,602,1749
3/13/2016,13,31,22,50.2,600,1750
3/14/2016,15,32,24,28.8,558,1751
3/15/2016,22,38,30,31.5,556,1752
3/16/2016,26,37,32,14.6,554,1754
3/17/2016,18,27,23,39.4,553,1755
3/18/2016,-6,19,7,55.3,551,1756
3/19/2016,-7,6,-1,53.5,549,1757
3/20/2016,5,21,13,12.3,547,1759
3/21/2016,1,14,8,39,545,1800
3/22/2016,-5,19,7,61.9,543,1801
3/23/2016,10,23,17,43.8,542,1802
3/24/2016,14,32,23,34.5,540,1804
3/25/2016,16,38,27,48.9,538,1805
3/26/2016,22,36,29,14.5,536,1806
3/27/2016,25,38,32,17.7,534,1807
3/28/2016,21,37,29,43.3,532,1808
3/29/2016,6,21,14,71.5,531,1810
