Date,Spending
1/1/1995,4851.2
2/1/1995,4850.8
3/1/1995,4885.4
4/1/1995,4890.2
5/1/1995,4933.1
6/1/1995,4977.5
7/1/1995,4970.2
8/1/1995,5005.3
9/1/1995,5020.5
10/1/1995,5013.9
11/1/1995,5055.6
12/1/1995,5097.5
1/1/1996,5085.7
2/1/1996,5132.8
3/1/1996,5173.3
4/1/1996,5208
5/1/1996,5223.8
6/1/1996,5229.8
7/1/1996,5251.9
8/1/1996,5275
9/1/1996,5296.6
10/1/1996,5328.5
11/1/1996,5351.2
12/1/1996,5378.6
1/1/1997,5411.1
2/1/1997,5434
3/1/1997,5454.2
4/1/1997,5459.3
5/1/1997,5460.2
6/1/1997,5494.2
7/1/1997,5548.8
8/1/1997,5587
9/1/1997,5601.7
10/1/1997,5637.7
11/1/1997,5661.1
12/1/1997,5692.1
1/1/1998,5689.9
2/1/1998,5723.8
3/1/1998,5750.3
4/1/1998,5788.1
5/1/1998,5837.9
6/1/1998,5871.7
7/1/1998,5890
8/1/1998,5925
9/1/1998,5965.6
10/1/1998,5998.8
11/1/1998,6015.4
12/1/1998,6070.5
1/1/1999,6072.9
2/1/1999,6101.8
3/1/1999,6132.9
4/1/1999,6196.2
5/1/1999,6225.7
6/1/1999,6254
7/1/1999,6281.5
8/1/1999,6326.5
9/1/1999,6378.8
10/1/1999,6402.1
11/1/1999,6437.9
12/1/1999,6538.7
1/1/2000,6535.3
2/1/2000,6619.7
3/1/2000,6685.8
4/1/2000,6671.1
5/1/2000,6707.6
6/1/2000,6743.9
7/1/2000,6764.1
8/1/2000,6799.1
9/1/2000,6882.9
10/1/2000,6888.2
11/1/2000,6902.4
12/1/2000,6945.7
1/1/2001,6977
2/1/2001,6995.8
3/1/2001,6987.9
4/1/2001,7001.2
5/1/2001,7047.1
6/1/2001,7060.7
7/1/2001,7072.2
8/1/2001,7108.9
9/1/2001,7012.8
10/1/2001,7208.4
11/1/2001,7167.9
12/1/2001,7147.7
1/1/2002,7174.3
2/1/2002,7218.3
3/1/2002,7237.2
4/1/2002,7305.4
5/1/2002,7282.7
6/1/2002,7318.2
7/1/2002,7380.4
8/1/2002,7401.5
9/1/2002,7391
10/1/2002,7430.7
11/1/2002,7459.7
12/1/2002,7512.8
1/1/2003,7533.1
2/1/2003,7535.9
3/1/2003,7598.4
4/1/2003,7621
5/1/2003,7628.1
6/1/2003,7678.6
7/1/2003,7738.2
8/1/2003,7834.5
9/1/2003,7835
10/1/2003,7845.7
11/1/2003,7899.6
12/1/2003,7929.2
1/1/2004,7987.4
2/1/2004,8019.8
3/1/2004,8076
4/1/2004,8088.6
5/1/2004,8163.2
6/1/2004,8147.2
7/1/2004,8218.9
8/1/2004,8253.1
9/1/2004,8321.1
10/1/2004,8374.6
11/1/2004,8420.6
12/1/2004,8481.5
1/1/2005,8470.2
2/1/2005,8529.2
3/1/2005,8569.5
4/1/2005,8645.6
5/1/2005,8643.9
6/1/2005,8724.8
7/1/2005,8829.5
8/1/2005,8832.4
9/1/2005,8885.8
10/1/2005,8926.6
11/1/2005,8938.5
12/1/2005,8969.6
1/1/2006,9059.8
2/1/2006,9090.1
3/1/2006,9122.1
4/1/2006,9174.8
5/1/2006,9215.1
6/1/2006,9240.8
7/1/2006,9322.6
8/1/2006,9321.8
9/1/2006,9354.7
10/1/2006,9373.2
11/1/2006,9380.2
12/1/2006,9469
1/1/2007,9516.3
2/1/2007,9546.8
3/1/2007,9585.1
4/1/2007,9615.7
5/1/2007,9651.3
6/1/2007,9667.3
7/1/2007,9709.6
8/1/2007,9753.9
9/1/2007,9797.9
10/1/2007,9827
11/1/2007,9897.8
12/1/2007,9908.4
1/1/2008,9930
2/1/2008,9913.4
3/1/2008,9959.4
4/1/2008,9996.8
5/1/2008,10053.8
6/1/2008,10107.9
7/1/2008,10104.7
8/1/2008,10094.7
9/1/2008,10043.5
10/1/2008,9960.3
11/1/2008,9820.8
12/1/2008,9730.7
1/1/2009,9783.8
2/1/2009,9766
3/1/2009,9718.5
4/1/2009,9724.8
5/1/2009,9748.9
6/1/2009,9806.9
7/1/2009,9841.7
8/1/2009,9961
9/1/2009,9883.4
10/1/2009,9931.9
11/1/2009,9940.5
12/1/2009,9998.9
1/1/2010,10001.8
2/1/2010,10030.6
3/1/2010,10089.1
4/1/2010,10112.9
5/1/2010,10131
6/1/2010,10151.4
7/1/2010,10184.7
8/1/2010,10228.2
9/1/2010,10249
10/1/2010,10304.7
11/1/2010,10354.7
12/1/2010,10392.1
1/1/2011,10435.5
2/1/2011,10470.1
3/1/2011,10550.5
4/1/2011,10587.6
5/1/2011,10612
6/1/2011,10636.8
7/1/2011,10677.5
8/1/2011,10700.6
9/1/2011,10738.1
10/1/2011,10753.1
11/1/2011,10759.5
12/1/2011,10772.2
1/1/2012,10862.1
2/1/2012,10953.5
3/1/2012,10951.8
4/1/2012,10979.7
5/1/2012,10968.6
6/1/2012,10946.3
7/1/2012,10977.2
8/1/2012,11004.1
9/1/2012,11061.5
10/1/2012,11099.8
11/1/2012,11136.8
12/1/2012,11140.5
1/1/2013,11202.8
2/1/2013,11239.6
3/1/2013,11227.1
4/1/2013,11205.4
5/1/2013,11244.6
6/1/2013,11268.8
7/1/2013,11296.7
8/1/2013,11329.2
9/1/2013,11366.9
10/1/2013,11419.8
11/1/2013,11487.6
12/1/2013,11517.9
1/1/2014,11512.5
2/1/2014,11566.2
3/1/2014,11643
4/1/2014,11702.6
5/1/2014,11748.4
6/1/2014,11817
7/1/2014,11860.5
8/1/2014,11944.3
9/1/2014,11957.4
10/1/2014,12023
11/1/2014,12051.4
12/1/2014,12062
1/1/2015,12046
2/1/2015,12082.4
3/1/2015,12158.3
4/1/2015,12193.8
5/1/2015,12268.1
6/1/2015,12308.3
7/1/2015,12355.4
8/1/2015,12394
9/1/2015,12392.8
10/1/2015,12416.1
11/1/2015,12450.1
12/1/2015,12469.1
