Date,Rides,PRCP,TMAX,TMIN,AWND,GustSpeed2,Fog,HeavyFog,Thunder
6/4/2016,7,0.1,86,67,4.9,13,1,0,0
6/5/2016,12,0,88,68,5.8,14.1,0,0,0
6/6/2016,19,0,90,70,4.3,13,0,0,0
6/7/2016,22,0,92,69,2,8.1,0,0,0
6/8/2016,35,0,92,70,2.7,12.1,1,0,0
6/9/2016,55,0,92,71,4.7,19.9,1,0,0
6/10/2016,45,0,91,69,3.1,10.1,0,0,0
6/11/2016,51,0,93,76,5.8,12.1,1,0,0
6/12/2016,44,0,94,77,5.8,14.1,0,0,0
6/13/2016,14,0,94,76,5.4,12.1,0,0,0
6/14/2016,26,0,94,78,6.3,12.1,0,0,0
6/15/2016,15,0,96,78,6.5,13,0,0,0
6/16/2016,87,0,96,75,6.3,14.1,1,0,0
6/17/2016,262,0,97,76,5.8,10.1,0,0,0
6/18/2016,413,0,96,76,4.3,10.1,0,0,0
6/19/2016,388,0,94,77,3.8,12.1,0,0,0
6/20/2016,109,0,95,75,3.6,8.9,0,0,0
6/21/2016,89,0,96,75,4,8.9,0,0,0
6/22/2016,175,0,96,76,5.6,13,0,0,0
6/23/2016,154,0,95,75,6.3,14.1,0,0,0
6/24/2016,234,0,93,75,5.8,13,0,0,0
6/25/2016,530,0.02,88,77,4.9,10.1,1,0,1
6/26/2016,474,0,95,76,4.9,13,1,0,0
6/27/2016,119,0,96,75,1.8,8.1,0,0,0
6/28/2016,91,0.33,101,72,3.4,25.9,1,0,1
6/29/2016,111,0,96,71,2.2,8.9,0,0,0
6/30/2016,163,0,94,76,3.6,10.1,0,0,0
7/1/2016,308,0,96,74,4.7,10.1,0,0,0
7/2/2016,731,0,98,76,6.5,14.1,0,0,0
7/3/2016,799,0,98,78,7.8,15,0,0,0
7/4/2016,469,0,99,80,8.1,14.1,0,0,0
7/5/2016,300,0,99,79,8.3,16.1,0,0,0
7/6/2016,187,0,100,79,7.8,16.1,0,0,0
7/7/2016,214,0,99,79,8.7,16.1,0,0,0
7/8/2016,268,0,100,79,7.6,16.1,0,0,0
7/9/2016,646,0,99,78,6.7,13,0,0,0
7/10/2016,629,0.04,97,77,5.8,14.1,1,0,0
7/11/2016,176,0,100,79,8.9,17,0,0,0
7/12/2016,152,0,100,77,8.9,17,0,0,0
7/13/2016,233,0,101,80,7.8,15,0,0,0
7/14/2016,359,0,101,77,7.6,17,0,0,0
7/15/2016,386,0,101,78,6.9,13,0,0,0
7/16/2016,716,0,100,76,5.1,12.1,0,0,0
7/17/2016,734,0,99,76,6.7,12.1,0,0,0
7/18/2016,176,0,99,78,5.4,14.1,0,0,0
7/19/2016,185,0,100,77,5.4,15,0,0,0
7/20/2016,249,0,101,77,4.9,13,0,0,0
7/21/2016,355,0,101,76,4,12.1,0,0,0
7/22/2016,519,0,102,76,3.8,12.1,0,0,0
7/23/2016,1047,0,101,78,5.8,13,0,0,0
7/24/2016,1013,0,101,78,4.9,13,0,0,0
7/25/2016,279,0.76,102,76,3.1,21,1,0,1
7/26/2016,274,0.08,93,75,2,8.9,1,0,1
7/27/2016,312,1.06,92,74,2.9,16.1,1,0,1
7/28/2016,377,0,97,75,3.4,21.9,1,0,1
7/29/2016,586,0,96,74,3.8,8.9,0,0,0
7/30/2016,994,0,97,76,4.7,12.1,0,0,0
7/31/2016,976,0,98,78,6.3,13,0,0,0
8/1/2016,302,0,99,75,5.8,13,0,0,0
8/2/2016,251,0,98,75,4.9,12.1,0,0,0
8/3/2016,317,0,99,76,4.3,10.1,0,0,0
8/4/2016,524,0,99,76,5.1,12.1,0,0,0
8/5/2016,523,0,100,77,4.9,12.1,0,0,0
8/6/2016,1263,0,100,77,4.3,12.1,0,0,0
8/7/2016,1928,0,100,77,5.6,12.1,0,0,0
8/8/2016,442,0,100,78,5.4,10.1,0,0,0
8/9/2016,415,0,102,79,6,13,0,0,0
8/10/2016,526,0,102,81,5.4,12.1,0,0,0
8/11/2016,763,0,102,78,4.7,12.1,0,0,0
8/12/2016,1223,0,105,79,4.9,15,0,0,0
8/13/2016,2297,0.1,96,77,3.1,13,1,0,1
8/14/2016,2125,0.92,84,71,2.7,15,1,0,1
8/15/2016,544,2.35,76,71,1.8,6.9,1,0,0
8/16/2016,536,1.79,83,71,2.9,10.1,1,1,1
8/17/2016,773,0.3,84,75,2.7,12.1,1,0,1
8/18/2016,845,0.17,88,74,2,12.1,1,0,0
8/19/2016,1209,0.06,93,75,4.9,10.1,1,0,0
8/20/2016,2542,0.74,83,73,3.6,10.1,1,0,1
8/21/2016,2356,0.11,82,73,2.2,8.1,1,0,0
8/22/2016,738,0.04,91,75,4,13,1,0,0
8/23/2016,990,0,94,77,7.4,13,1,0,0
8/24/2016,882,0,93,76,5.8,13,0,0,0
8/25/2016,940,0.04,94,74,2.5,13,1,0,0
8/26/2016,2303,0,93,75,2.9,13,0,0,0
8/27/2016,3800,0,92,72,2.5,12.1,0,0,0
8/28/2016,3595,0.16,92,73,2.9,12.1,1,0,0
8/29/2016,998,0.06,91,73,4.5,16.1,1,0,0
8/30/2016,816,0,92,73,3.8,12.1,0,0,0
8/31/2016,1011,0.09,94,74,1.8,8.9,1,0,0
9/1/2016,1455,0,96,75,3.8,10.1,0,0,0
9/2/2016,2813,0,92,75,2.9,8.9,0,0,0
9/3/2016,4660,0,92,73,2.9,10.1,1,0,0
9/4/2016,4741,0.01,93,75,3.4,13,1,0,1
9/5/2016,3236,0,94,73,4.9,14.1,0,0,1
9/6/2016,1167,0.01,95,77,5.8,17,1,0,1
9/7/2016,1140,0,96,78,5.6,13,0,0,0
9/8/2016,1412,0,95,77,6,12.1,0,0,0
9/9/2016,2288,0,95,77,5.6,13,0,0,0
9/10/2016,5046,0.05,93,71,5.8,18.1,1,0,0
9/11/2016,3664,0,93,69,2.2,6.9,0,0,0
9/12/2016,1472,0,93,70,2.9,10.1,0,0,0
9/13/2016,1211,0,94,74,3.1,8.9,1,0,0
9/14/2016,1606,0,92,76,2.9,14.1,0,0,0
9/15/2016,2044,0,94,72,2.7,12.1,0,0,0
9/16/2016,3755,0,95,75,1.8,8.9,0,0,0
9/17/2016,5678,0,96,74,2.2,8.1,0,0,0
9/18/2016,6032,0,98,75,2,8.1,0,0,0
9/19/2016,2046,0,99,76,2.5,10.1,0,0,0
9/20/2016,1805,0,99,75,2.7,10.1,0,0,0
9/21/2016,2136,0,96,75,2,10.1,0,0,0
9/22/2016,2741,0,94,70,4.7,14.1,0,0,0
9/23/2016,4326,0.03,93,76,5.4,14.1,1,0,0
9/24/2016,6259,0.01,97,77,5.4,15,1,0,1
9/25/2016,6878,0.76,88,70,3.6,13,1,1,1
9/26/2016,2523,1.22,73,67,5.6,13,1,0,0
9/27/2016,2021,0,80,67,2.9,8.9,0,0,0
9/28/2016,2388,0,89,65,1.1,8.1,0,0,0
9/29/2016,3212,0,86,63,5.4,12.1,0,0,0
9/30/2016,7178,0,83,60,1.6,8.1,0,0,0
10/1/2016,10561,0,80,59,1.1,6.9,0,0,0
10/2/2016,10872,0,85,58,1.6,8.1,0,0,0
10/3/2016,5048,0,87,62,2.5,10.1,0,0,0
10/4/2016,2259,0,91,70,4.9,12.1,0,0,0
10/5/2016,2623,0,92,75,5.1,13,0,0,0
10/6/2016,4048,0,92,76,5.4,16.1,0,0,0
10/7/2016,9257,0,89,63,4.7,16.1,1,0,0
10/8/2016,12669,0,86,61,4.9,8.9,0,0,0
10/9/2016,12779,0,84,58,4,8.1,0,0,0
10/10/2016,6698,0,84,52,1.1,6.9,0,0,0
10/11/2016,2788,0,88,53,1.3,8.9,0,0,0
10/12/2016,2707,0,91,61,2.7,10.1,0,0,0
10/13/2016,3099,0.17,89,68,2.5,12.1,1,0,0
10/14/2016,5527,0,87,67,2.7,14.1,1,1,0
10/15/2016,9920,0,91,71,4.5,12.1,0,0,0
10/16/2016,8593,0,94,75,4.9,14.1,0,0,0
10/17/2016,3150,0,94,74,5.6,12.1,0,0,0
10/18/2016,2688,0,93,75,5.6,13,0,0,0
10/19/2016,3206,0,92,75,4.7,12.1,0,0,0
10/20/2016,4088,0,83,65,6.7,17,0,0,0
10/21/2016,6052,0,77,53,3.4,8.9,0,0,0
10/22/2016,9574,0,80,47,2,8.9,0,0,0
10/23/2016,9216,0,84,55,2.9,13,0,0,0
10/24/2016,4065,0,86,67,3.6,10.1,0,0,0
10/25/2016,2779,0,86,67,3.1,10.1,1,0,0
10/26/2016,2794,0,87,64,2.2,10.1,0,0,0
10/27/2016,3365,0,88,64,2.7,8.9,0,0,0
10/28/2016,6064,0,86,61,2.5,12.1,0,0,0
10/29/2016,11731,0,86,64,2.5,12.1,0,0,0
10/30/2016,12865,0,87,65,2.2,10.1,0,0,0
10/31/2016,3524,0,86,60,3.8,12.1,1,0,0
11/1/2016,3855,0.33,91,71,4.9,15,1,0,1
11/2/2016,2958,0.01,88,73,5.6,12.1,1,0,0
11/3/2016,4057,1.07,80,68,4.5,16.1,1,0,1
11/4/2016,5568,0,73,68,3.8,8.1,1,0,0
11/5/2016,8492,0.24,72,63,2,6.9,1,0,0
11/6/2016,9232,0.07,76,59,2,12.1,1,0,0
11/7/2016,4340,0.08,71,61,2,6.9,1,0,0
11/8/2016,3648,0.49,69,62,4,10.1,1,0,1
11/9/2016,4734,0.17,65,60,6.3,10.1,1,0,0
11/10/2016,4944,0,71,56,2.5,8.1,0,0,0
11/11/2016,6986,0,74,55,2,8.1,1,0,0
11/12/2016,10907,0,77,57,3.6,8.9,1,0,0
11/13/2016,9586,0,76,54,1.6,6.9,0,0,0
11/14/2016,3675,0,82,56,2,8.9,1,1,0
11/15/2016,3175,0,86,59,2,8.1,0,0,0
11/16/2016,3334,0,86,55,3.1,8.9,0,0,0
11/17/2016,3748,0,82,58,6.5,15,1,0,0
11/18/2016,6570,0,79,52,6.7,17,0,0,0
11/19/2016,10632,0,63,41,5.4,13,0,0,0
11/20/2016,9948,0,67,35,2.2,10.1,0,0,0
11/21/2016,3714,0,77,44,4.5,13,0,0,0
11/22/2016,3779,0.49,76,62,4.9,13,1,0,1
11/23/2016,3917,0.13,73,51,3.1,14.1,1,0,0
11/24/2016,3378,0,76,46,1.1,8.1,0,0,0
11/25/2016,3321,0.03,66,55,3.8,10.1,1,0,0
11/26/2016,5543,0,70,53,1.6,6.9,0,0,0
11/27/2016,5339,0,76,56,6,14.1,0,0,0
11/28/2016,3343,0,79,51,6,17,0,0,0
11/29/2016,2867,0,79,49,2.7,8.1,0,0,0
11/30/2016,3021,0,67,42,3.6,13,0,0,0
12/1/2016,3738,0,69,37,3.4,12.1,0,0,0
12/2/2016,6055,0.22,64,51,3.6,10.1,1,0,0
12/3/2016,10453,1.29,52,49,5.8,12.1,1,0,0
12/4/2016,10185,0.37,53,49,5.6,13,1,0,0
12/5/2016,4079,0.63,52,47,3.1,10.1,1,0,0
12/6/2016,4193,0,58,43,4.5,17,1,1,0
12/7/2016,4564,0,56,39,2.9,13,1,0,0
12/8/2016,4386,0,52,36,10.3,21,0,0,0
12/9/2016,4704,0,46,33,4.5,12.1,0,0,0
12/10/2016,9743,0,52,35,3.1,8.9,1,0,0
12/11/2016,10808,0.02,67,50,3.8,14.1,1,1,0
12/12/2016,3786,0,67,46,2.9,10.1,0,0,0
12/13/2016,3449,0,77,50,3.8,14.1,1,0,0
12/14/2016,4306,0,57,43,4,12.1,0,0,0
12/15/2016,4633,0,54,45,4.7,12.1,1,0,0
12/16/2016,6063,0,67,51,5.1,12.1,1,0,0
12/17/2016,8789,0,76,34,5.6,21,1,0,0
12/18/2016,8828,0,37,26,12.3,21,0,0,0
12/19/2016,3538,0,45,23,4.9,13,0,0,0
12/20/2016,3287,0,59,35,1.6,6.9,0,0,0
12/21/2016,3586,0,71,43,3.8,12.1,0,0,0
12/22/2016,3805,0,68,50,4.5,12.1,0,0,0
12/23/2016,4192,0.01,68,52,0.9,6.9,1,1,0
12/24/2016,3646,0,78,65,6.9,17,1,0,0
12/25/2016,1597,0,80,68,9.2,17,0,0,0
12/26/2016,1793,0,84,70,3.6,12.1,0,0,0
12/27/2016,2645,0,76,62,1.1,6.9,0,0,0
12/28/2016,2932,0,83,62,2.7,12.1,1,0,0
12/29/2016,3724,0,70,49,8.5,18.1,0,0,0
12/30/2016,5112,0,55,49,4.5,12.1,0,0,0
12/31/2016,7211,0,77,51,2.9,10.1,1,0,0
1/1/2017,14231,0,75,53,3.4,8.9,1,1,0
1/2/2017,3814,0.4,74,52,4.5,17,1,0,1
1/3/2017,2928,0,76,44,5.8,15,0,0,0
1/4/2017,2869,0,50,38,4.9,12.1,0,0,0
1/5/2017,3474,0,63,34,5.1,17,0,0,0
1/6/2017,4911,0,34,23,10.5,17,0,0,0
1/7/2017,7286,0,44,19,4,12.1,0,0,0
1/8/2017,8777,0,53,21,3.6,14.1,0,0,0
1/9/2017,4208,0,71,43,5.4,15,0,0,0
1/10/2017,3971,0,79,59,6.5,17,0,0,0
1/11/2017,4297,0,80,59,8.3,16.1,0,0,0
1/12/2017,4322,0,81,67,7.6,14.1,0,0,0
1/13/2017,5730,0.65,78,56,6.7,14.1,1,0,0
1/14/2017,10340,0.07,56,47,3.6,8.1,1,0,0
1/15/2017,9577,0.61,73,51,4.9,17,1,0,1
1/16/2017,6311,0.3,70,58,1.1,8.9,1,0,1
1/17/2017,4283,1.57,59,48,5.8,14.1,1,0,1
1/18/2017,4536,0.51,56,47,3.6,8.9,1,0,1
1/19/2017,4783,0,71,52,3.4,12.1,0,0,0
1/20/2017,7235,0,76,47,1.3,8.1,1,0,0
1/21/2017,11979,0.02,81,48,5.8,21,1,1,0
1/22/2017,11927,0,70,53,11.2,23.9,0,0,0
1/23/2017,4539,0,76,46,3.8,10.1,0,0,0
1/24/2017,3807,0,84,50,6.7,14.1,0,0,0
1/25/2017,4190,0,69,48,7.2,15,0,0,0
1/26/2017,4789,0,59,40,3.1,10.1,0,0,0
1/27/2017,7396,0,58,38,4.9,13,0,0,0
1/28/2017,10730,0,61,39,6,14.1,0,0,0
1/29/2017,12587,0,70,40,6.3,14.1,0,0,0
1/30/2017,4397,0,79,47,4.9,12.1,0,0,0
1/31/2017,3839,0,78,44,3.8,13,0,0,0
2/1/2017,4383,0,82,51,3.6,14.1,1,0,0
2/2/2017,5115,0,64,46,6.5,13,0,0,0
2/3/2017,7631,0,53,45,6,13,0,0,0
2/4/2017,11292,0.02,51,47,1.3,8.9,1,0,0
2/5/2017,11840,0,72,51,2.7,12.1,1,0,0
2/6/2017,5045,0,78,67,5.4,12.1,1,0,0
2/7/2017,1535,0,86,56,2.2,13,1,0,0
